title,url,type,date,content,Stock_Names,Sentiment,Summary
"Swiggy IPO filing likely this weekend, say sources",https://www.moneycontrol.com/news/business/startup/swiggy-ipo-filing-likely-this-weekend-say-sources-12826156.html,general,2024-09-20,food grocery delivery startup swiggy likely file draft red herring prospectus  drhp  weekend  according people close developments  approval confidential filing market regulator sebi almost  paving way drhp  one sources said  files drhp  company s management take part investor roadshows coming weeks across india  us singapore  swiggy s public issue one anticipated year  amid rush new age economy ipos taken advantage thriving bull market   time gap drhp rhp confidential filing typically lesser market regulator already gone information   said source  swiggy immediately respond queries seeking comments  also read  madhuri dixit goes dhak dhak swiggy  snaps shares ahead ipo swiggy recently upsized ipo  14 billion  amid intensifying competition online grocery delivery space  platform instamart competes likes zomatoowned blinkit  zepto tataowned bigbasket   indiaâs food delivery market  estimated grow rs 2 lakh crore 2030  duopoly swiggy zomato together commanding 90 percent food industry  zomato went public 2021  swiggy set join rival coming months  prosus  32 percent   softbank  8 percent   accel  6 percent  key investors swiggy  elevation capital  dst global  norwest  tencent  qatar investment authority  qia   singaporeâs gic  among several others shareholders company  company valued  107 billion last raised funds january 2022 however  past months  bankers expressed confidence swiggy list market capitalisationvaluation around  1013 billion  sources earlier told moneycontrol  company  first expected raise rs 3750 crore  around  450 million  fresh issue  issue fresh shares worth rs 5000 crore   600 million   increase rs 1250 crore  150 million  readies cash chest highly competitive market   swiggy earlier set raise  125 billion ipo  rs 3750 crore  around  450 million  fresh issue rs 6664 crore  around  800 million  part offerforsale  ofs   however  companyâs board approves new proposal extraordinary general meeting  egm  october 3  total ipo size around  14 billion   125 billion  additional  150 million coming via fresh issue  plans change ofs component yet  change came days swiggy filed drhp  moneycontrol first report swiggy filing draft ipo papers capital markets regulator  via confidential route  back april 26 since april  swiggy seen increased action secondaries market  company shares changing hands rs 330350 apiece  moneycontrol earlier reported  hnis family offices buying shares company valued  993 billion secondary market transactions ,"zomato, rec, acc, iti",POSITIVE,Food grocery delivery startup swiggy likely file draft red herring prospectus  drhp  weekend. Swiggy recently upsized ipo  14 billion  amid intensifying competition online grocery delivery space instamart competes likes zomato.
"Sensex, Nifty hit record highs; here's a look at what's driving the rally",https://www.moneycontrol.com/news/business/markets/sensex-nifty-hit-record-highs-heres-a-look-at-the-key-drivers-of-the-rally-12826089.html,general,2024-09-20,sensex niftyâ hit record highs ofâ 84240 andâ 25725 around noon september 20 amid broadbased buyingâ overall market capitalisation  mcap  bselisted firms rose nearly rs 469 lakh crore  around noon  sensex 965 points 12 percent 84149 nifty 290 points 11 percent 25706 2196 shares advanced  1071 shares declined  105 shares remained unchanged  five factors driving rally  1 global market optimism  overnight  us benchmarks closed higher fed cut interest rates 50 basis points signalled cuts ahead   p 500 dow jones hit record highs  fueled strongerthanexpected jobless claims data  boosting global risk appetite  asiapacific markets strong today  led japan s nikkei 225 japan s core consumer price index rose 28 percent yearonyear  ahead bank japanâs upcoming policy meeting  rates expected remain steady 025 percent  follow live blog market action 2 fed s ratecutting cycle  â fed s pivot could influence reserve bank india s stance  analysts predicting potential rate cut december policy meeting   exerts pressure reserve bank india  rbi  think similar rate cut  especially domestic economy still recovering   said ravi singh  svp retail research religare broking   start easing cycle provides space  emerging markets  ems kickstart  low global volatility thus far  rbi likely remain focused domestic dynamics   emkay global said fomc review report  3 banking stocks lead charge  nifty bank index rose seventh consecutive session hit fresh high 53357 led gains icici bank  hdfc bank  kotak mahindra 12 percent  banking stocks hold maximum weight benchmark indices  declined 15 percent july 04 percent august  index risen 4 percent far september  also read â defence stocks stage comeback mazagon dock  garden reach shipbuilders  cochin shipyard surge 10  4 participation midcaps smallcaps  â broader market rebounded today facing selling pressure past couple sessions  bse midcap smallcap indices snapped threeday losing run rose percentage  5 expectations foreign institutional investors  fiis  buying  â fed s interest rate cut positive factor indian equities boosts global liquidity  potentially attracting foreign funds   weakening dollar falling interest rates us generally positive emerging markets like india  fpis already started buying indian equities past weeks despite concerns valuations  belive resilient indian macro support india s equity valuation   saidâ jitendra gohil  cfa chief investment strategist  kotak alternateasset manages  disclaimer  views investment tips expressed investment experts moneycontrolcom website management  moneycontrolcom advises users check certified experts taking investment decisions ,"hdfc bank, icici bank, rec, upl, bse, cochin shipyard, iti",POSITIVE, sensex niftyâ hit record highs ofâ 84240 andâ 25725 around noon september 20 amid broadbased buyingâ overall market capitalisation  mcap  bselisted firms rose nearly rs 469 lakh crore  around noon. sensex 965 points 12 percent 84149 nifty 290 points 11 percent 25706 2196 shares advanced  1071 shares declined  105 shares remained unchanged.
"Vodafone Idea sees no impact of SC ruling on debt-funding, capex plans",https://www.moneycontrol.com/news/business/vodafone-idea-sees-no-impact-of-sc-ruling-on-debt-funding-capex-plans-12826002.html,general,2024-09-20,vodafone idea ltd expects debtraising capital expenditure plans remain unaffected supreme court s rejection curative plea recomputation dues owes government  lenders accounted adverse outcome recent technoeconomic evaluation  company officials said  requesting anonymity  however  analysts said apex court ruling could delay telco  debtraising plans  hinder capex execution lead market share losses  analysts pinned hopes positive agr ruling  potential wildcard   could improved vodafone idea s finances ability compete rivals  absence agr relief  telco could staring financial crisis starting second half financial year 2026 calendar year 2027 time frame coincides company  deadline make annual spectrum agr payments government  estimated  5 billion  vodafone idea raised  24 billion equity raising additional  4 billion debt  telco  200 million subscribers  reached new lenders  including public sector nonbanking financial companies  nbfcs   telco remains hopefula company source said    sc  outcome impact plan way  positive outcome would helped   impact debtfundraising capex strategy  telco outlined capex plan rs 55000 crore three years executed debt fundraising equity raises  vodafone idea earmarked capex budget 5g deployment expansion 4g coverage critical priority circles equity raise  company claims sufficient funds recent capital raise support nearterm capex needs  earlier week september 19  apex court dismissed curative petitions telecom operators  led vodafone idea bharti airtel  seeking correction computational errors related pending agr dues  threemember sc bench  comprising chief justice india dy  chandrachud sanjiv khanna  br  gavai  dismissed curation petitions  way forward note  brokerage firm  nomura  said agr outcome material overhang vodafone idea incremental visibility telco s way forward  despite large debt burden manageable government support coming years  vodafone idea able steadily repair rebuild business partake robust outlook indian telecom industry  underpinned clarity significant tariff hikes next two years 5g monetisation  nomura said   reality nt change vodafone idea  debt raise become challenging   turn  impact capex plan  resulting delayed market share stabilisation customer loss   market share gain much tougher task   analyst associated leading brokerage told moneyconytrol  analyst said vodafone idea require capital infusion  primarily shareholders  unless government extends payment timeline   government review matter interveneelse  risk vodafone idea could struggling  scenario good telecom sector   said mahesh uppal  director  com first  india   uppal said sc ruling impact teleco  turnaround plan   positive outcome could reduced company  burden   added  note dated september 19  credit lyonnais securities asia  clsa   capital markets investment group focuses alternative investments  said options may exhausted telco  cited similar petition filed company january 2021 sc  agr verdict 16yearold case  analysts macquarie  global investment banking financial services group  said though vodafone idea s tariff outlook improving  without agr concessions  would take least 30 years 15 per cent average revenue per user  arpu  compound annual growth rate  cagr  company settle outstanding dues  hence  extension repayment deadline required  added   base case  continue see marketshare erosion meaningful equity dilution risk   macquarie analysts said note september 19 based detailed selfassessment agr dues  bharti airtel paid  22 billion department telecom   dot  estimate  53 billion  similarly  vodafone idea selfassessed agr dues  26 billion  dot estimate  7 billion  far  telco paid  1 billion  vodafoneidea s net debt  28 billion till first quarter 202425  including agr liability  85 billion  20 per cent principal  rest represents interest penalties  earlier  september 2021  vodafone idea bharti airtel opted fouryear moratorium agr spectrum dues ,"bharti airtel, rec, vodafone idea, acc, bse, iti, epl",POSITIVE,Vodafone idea ltd expects debtraising capital expenditure plans remain unaffected supreme court s rejection curative plea recomputation dues owes government  lenders accounted adverse outcome recent technoeconomic evaluation. telco could staring financial crisis starting second half financial year 2026 calendar year 2027 time frame coincides company  deadline make annual spectrum agr payments.
PhysicsWallah raises $210 million in funding at $2.8 billion valuation,https://www.moneycontrol.com/news/business/startup/physicswallah-raises-210-million-in-funding-at-2-8-billion-valuation-12826132.html,general,2024-09-20,edtech unicorn physics wallah  pw  closed series b funding round  raising  210 million combination primary secondary transactions  round  led hornbill capital  saw participation lightspeed venture partners  well existing investors gsv ventures westbridge capital  investment  company  postmoney valuation soared  28 billion  25x increase previous valuation  11 billion  founded teacherturnedentrepreneur alakh pandey 2016  profitable edtech firm previously raised  102 million westbridge gsv ventures maiden funding round  latest round marks one largest primary capital raises edtech segment recent times  signaling renewed investor confidence long interval  especially companies transition back traditional learning methods incorporating digital innovations  following drastic decline investment 2023  fell  321 million peak  41 billion 2021  current funding strong indicator recovery  according report tracxn  yeartodate funding indian edtech sector stood  215 million  showing modest rebound  321 million secured edtech startups 2023 funding india  edtech ecosystem plummeted post pandemic educational institutions reopening impacted demand online learning coupled corporate governance issue financial crisis faced beleaguered edtech company byju  hit investors  confidence sector  however  despite modest recovery  sector still long gap cover funding 2023 dropped 87 percent  24 billion raised 2022 edtech funding peaked  41 billion 2021 focus scale fy23  physicswallah reported threefold increase operating revenue  reaching rs 772 crore standalone basis  surge primarily fueled company  expansion offline education  contributes approximately 45 percent overall revenue  interview moneycontrol  cofounder prateek maheshwari shared edtech firm rs 1200 crore bank fuel expansion  utilise fresh capital wisely scale  despite dip profits fy23 due increased spending growth  maheshwari pandey remain optimistic future   fy25 highest absolute ebitda year   pandey confidently states  explained revenue already grown 25x fy24  strategic decision invest offline centres  many doubted  paying  pws net profit saw decline rs 16 crore  rs 98 crore fy22  attributed rising employee costs provisioning noncash expenses led significant increase total expenses   mandate fy24 capture market share  led dip profits  however   confident longterm roadmap  fy25   targeting 50  growth   cofounder added  strategic expansion fresh capital  physicswallah plans bolster operations significantly  company aiming establish localised education centers  micro hubs  enhance accessibility students across india  continuing strategy exploring mergers communitydriven education platforms strengthen market position   strategy avoid mega centers like kota due high concentration students associated challenges  instead  focusing smaller  efficient centers closer students  homes  year  heavily expanding south india continue grow vidhyapeth strong pace mirco hubs   maheshwari said  edtech previously acquired smaller firms xylem learning  preponline  altis vortex   exploring opportunities different geographies  particularly south  also seeking smaller  growing platforms  particularly led teachers  share philosophy community building brand affinity similar physics wallah  interested largescale acquisitions rather smaller entities   pandey said ,"rec, upl, acc, iti",POSITIVE, edtech unicorn physics wallah  pw  closed series b funding round  raising  210 million combination primary secondary transactions  round. postmoney valuation soared  28 billion  25x increase previous valuation  11 billion  founded teacherturnedentrepreneur alakh pandey 2016  profitable edtech firm previously raised 102 million westbridge gsv ventures maiden funding round.
Why banking stocks will continue to struggle even if RBI follows Fed's 50 bps rate cut path,https://www.moneycontrol.com/news/business/markets/why-banking-stocks-will-continue-to-struggle-even-if-rbi-follows-feds-50-bps-rate-cut-path-12826104.html,general,2024-09-20,rate sensitive stocks tend rejoice easing monetary policy  us fed announcing jumbo rate cut 50 basis points  brainer banking stocks may also attract huge investor interest  however  time  different  hopes rbi follow steps fed increased  market experts expect underperformance banking stocks continue nearterm account combination factors including trailing margins  sluggish deposit growth  widening credittodeposit  cdr  ratio  chokkalingam g  founder equinomics research  cautioned even rbi cuts interest rates  banking stocks unlikely see relief near term  highlighted factors increased liquidity requirements  higher provisions credit losses  slow deposit growth  widening cdr ratio ongoing challenges keep banking stocks pressure  far year  bank nifty index risen 9 percent  significantly underperforming benchmark nifty 50 s 16 percent gains  dnyananda vaidya  research analyst tracking bfsi sector axis securities concurred view  saying rate cut rbi would dent lenders margins nearterm higher share repolinked loans  repolinked loans adjust changes repo rate  potentially narrowing gap deposit loan rates  thereby  squeezing bank margins  however  street split whether rate cut rbi happen year  experts anticipate small rate cut october meeting  betting delayed cut  likely december even next year  lender feel margin pressure  rbi mirrors fed s 50 bps rate cut  large private banks like hdfc bank  kotak mahindra bank  axis bank  icici bank expected see margin impact 1520 bps  according nomura analysts  5060 percent loan books directly linked repo rate external benchmarks  smaller private banks indusind bank  au bank  bandhan bank  higher share fixedrate loans  less affected  similarly  psu banks like sbi  mclrlinked loans  also experience less impact  fy20  banks nt use repo rates external benchmarks floating rate loans  instead  based lending rates internal benchmarks like mclr  october 2019  rbi mandated new floating rate loans retail msme sectors linked repo rate another external benchmark  making lending rates sensitive changes external interest rates  despite margin pressures  overall impact banks  return assets  roa  expected limited  thanks potential marktomarket  mtm  gains treasury books  said nomura  treasury gains occur bond prices rise rate cut  benefiting banks large government bond portfolios  large private lenders like hdfc bank  kotak mahindra bank  axis bank  icici bank likely see 510 bps roa impact  indusind bank  bandhan bank  au bank experience minimal roa pressure  deposit  casa ratio improve rate cut  historically  casa ratio banking system improved rate cut cycles  example  fy15 fy17  casa ratio rose around 600 bps  improved 260 bps fy19 fy21  however  rbi s aggressive monetary tightening past two years caused casa ratio drop 450 bps march 2024 future rate cut could help casa ratio recover low levels  1 percentage point increase casa ratio typically boosts banks  net interest margin  nim  45 bps  according nomura analysts  deposit growth could also improve rbi shifts accommodative policy  nomura projects system deposit growth rise 13 percent yearonyear fy25  around 11  august 9  2024 disclaimer  views investment tips expressed investment experts moneycontrolcom website management  moneycontrolcom advises users check certified experts taking investment decisions ,"hdfc bank, icici bank, kotak mahindra bank, indusind bank, axis bank, rec, bandhan bank, acc, iti",NEGATIVE,Bank nifty index risen 9 percent  significantly underperforming benchmark nifty 50 s 16 percent gains. Factors including trailing margins  sluggish deposit growth  widening credittodeposit  cdr  ratio keep banking stocks under pressure.
"Defence stocks stage comeback as Mazagon Dock, Garden Reach Shipbuilders, Cochin Shipyard surge up to 10%",https://www.moneycontrol.com/news/business/markets/defence-stocks-stage-comeback-as-mazagon-dock-garden-reach-shipbuilders-cochin-shipyard-surge-up-to-10-12826074.html,general,2024-09-20,defence stocks staged comeback charts september 20  darlings dalal street recorded gains 10 percent trade  paras defence bharat electronics higher around two percent  hindustan aeronautics gained 25 percent bourses 11  bharat dynamics jumped four percent rsâ 1166 mazagon dockâ along garden reach shipbuilders sailed eight percent rsâ 4364 per share  cochin shipyard shares surged 10 percent trade september 20 stock trade exdividend september 23  making today last day investors purchase counter eligible receive dividend payout  additionally  cochin shipyard set receive inflows  30 million  included ftse world index  rebalancing take place final minutes trade september 20 follow live blog catch updates past two months  psu defence counters witness sharp profittaking  rallying triple digits past year  counters asâ mazagon dock  cochin shipyard  garden reach shipbuilders among others fallen 40 percent lifetime highs  investors booking profits enmasse stretched valuations soured riskreward ratio stocks  however september 4  defence acquisition council  dac  approved major procurements worth rs 144716 crore armed forces  approved projects include future ready combat vehicles  frcvs  air defence fire control radars army  along dornier 228 aircraft  next generation fast patrol vessels  offshore patrol vessels indian coast guard  antique broking maintained buy  call hal  bel  bharat dynamics  mazagon dock  garden reach shipbuilders  firm views recent approval defence proposals worth rs 144 lakh crore feasible  noting projects sourced domestic industry  development presents significant opportunity indian defence manufacturers  disclaimer  views investment tips expressed investment experts moneycontrolcom website management  moneycontrolcom advises users check certified experts taking investment decisions ,"rec, hindustan aeronautics, bharat electronics, bharat dynamics, cochin shipyard, iti",POSITIVE, defence stocks staged comeback charts september 20  darlings dalal street recorded gains 10 percent trade  paras defence bharat electronics higher around two percent  hindustan aeronautics gained 25 percent bourses 11  bHarat dynamics jumped four percent  mazagon dockâ along garden reach shipbuilders sailed eight percent per share  cochin shipyard shares surged 10 percent.
Karnataka HC judge calls Bengaluru locality 'Pakistan'; SC initiates suo motu case,https://www.moneycontrol.com/news/india/karnataka-hc-judge-calls-bengaluru-locality-pakistan-sc-initiates-suo-motu-case-12826116.html,general,2024-09-20,supreme court taken suo motu cognisance controversial remarks made judge karnataka high court  fivejudge bench supreme court  comprising chief justice india  cji  dy chandrachud  justices sanjiv khanna  br gavai  surya kant hrishikesh roy  september 20 asked karnataka high court submit report regard  according ani  also sought assistance attorney general  ag  r venkataramani solicitor general  sg  tushar mehta matter  suo motu case initiated two video clips karnataka high court judge justice srishanand surfaced social media  one video  seen referring muslimdominated locality bengaluru  pakistan  one making objectionable remarks woman lawyer  videos went viral social media  people sectors demanding strict action judge  senior advocate indira jaising took  x  urge cji take suo motu action judge send gender sensitisation trainingwe call upon chief justice india take suo moto action agsinst judge send gender sensitisation training  pictwittercommpep6x8jov indira jaising   ijaising  september 19  2024  ask registrar general high court submit report court seeking administrative directions chief justice karnataka high court  exercise may carried two weeks   top court directed  per bar bench  court also said may lay basic guidelines ,"rec, acc, iti",NEGATIVE, supreme court taken suo motu cognisance controversial remarks made judge karnataka high court  fivejudge bench supreme court  comprising chief justice india  cji  dy chandrachud  justices sanjiv khanna  br gavai  surya kant hrishikesh roy. supreme court also sought assistance attorney general  ag  r venkataramani solicitor general  sg  tushar mehta matter.
‘Show us why it is pending’: SC asks Centre for details on non-appointment of judges,https://www.moneycontrol.com/news/india/show-us-why-it-is-pending-sc-asks-centre-for-details-on-non-appointment-of-judges-despite-collegiums-recommendation-12826182.html,general,2024-09-20,supreme court friday asked centre provide information numbers names reiterated apex court collegium appointment judges higher judiciary along reasons considered far level pending  direction passed bench headed chief justice india dy chandrachud comprising justices jb pardiwala manoj misra hearing pil seeking direction time limit fixed centre notify appointment judges recommended supreme court collegium   supreme court collegium search committee  judges  whose recommendations stalled   court said  bench asked attorney general  ag  r venkataramani  appearing centre  provide list names reiterated collegium say  pending level    please make list names reiterated pending level pending  show us pending   cji said  bench said appointments pipeline  expect come early  deferring hearing request attorney general  plea  filed advocate harsh vibhore singhal  also sought direction plug zone twilight  time notifying collegium s recommendations appointment judges higher judiciary  plea said absence fixed period   government arbitrarily delays notifying appointments thereby trampling upon judicial independence  imperiling constitutional democratic order disparaging majesty sagacity court   lawyer prashant bhushan referred name senior advocate saurabh kirpal  appointed high court judge despite reiteration apex court collegium   pti inputs ,"rec, bse",NEGATIVE, supreme court friday asked centre provide information numbers names reiterated apex court collegium appointment judges higher judiciary along reasons considered far level pending  direction passed. bench headed chief justice india dy chandrachud comprising justices jb pardiwala manoj misra hearing pil seeking direction time limit fixed centre notify appointment judges recommended.
"'This is wrong': Vinesh Phogat suggests major change in Wrestling Rules, explains 'women can’t lose more than 3 kg in a day'",https://www.moneycontrol.com/sports/vinesh-phogat-suggests-major-change-in-wrestling-rules-explains-women-cant-lose-more-than-3-kg-in-a-day-article-12826172.html,general,2024-09-20,vinesh phogat  missed assured olympic medal due disqualification  suggestion united world wrestling  uww   world wrestling body  indian grappler feels women allowance 1kg extra weight second day competition  even feels s  need  check weight following day wrestler reached final competition  vinesh  competing women s 50kg freestyle wrestling  assured silver medal reaching finals recentlyconcluded paris olympics   however  failed meet weight morning final bout  measuring 100 grams eligibility criteria  led disqualification  recent interaction indian express  vinesh asked share thoughts existing rules  replied   think need even check weight reached final  delay weighin bit second day gives time  needs allowance  especially women since body structure different men  per uww olympics weighin rules  wrestlers measure weight morning competition  need appear medical examination licence accreditation  wrestler supposed wear singlet  weighin duration day 1 half hour  wrestler measure multiple times  however  progress final  weighin duration reduces 15 minutes conducted morning bout  also read  vinesh phogat s pt usha played politics paris  remark  harish salve reveals wrestler didn  want carry case   women  lose 3 kg day peak fitness fat percent already low  men wrestlers body retains water  women athletes concerned weight cut second day  games village  least 50 athletes  different sports  hugged said wrong   vinesh added  meanwhile  uww chief nenad lalovic earlier stated body wo nt revising rules based one incident  mentioned strict regulations ensure wrestlers  compete natural weight category  drastically reduce weight  may  impact health  ,"rec, acc, iti, epl",NEGATIVE,Vinesh  competing women s 50kg freestyle wrestling  assured silver medal reaching finals recentlyconcluded paris olympics. vinesh phogat  missed assured olympic medal due disqualification  suggestion united world wrestling  uww   world wrestling body  indian grappler feels women allowance 1kg extra weight second day competition  even feels s  need  check weight following day.
How to save for your children’s education: A guide for parents,https://www.moneycontrol.com/news/business/personal-finance/how-to-save-for-your-childrens-education-a-guide-for-parents-12826127.html,general,2024-09-20,saving childrenâs education future doesnât burdensomeâ planning early ensures provide best opportunities without financial stress  options offer tax benefits  low entry amounts  safe backed government  hereâs guide effective strategies saving  1 start early plan ahead begin saving soon possible benefit compounding  estimate future education costs create dedicated savings account  tip  use online calculators estimate much need save monthly based goals  2 invest systematic investment plans  sips  sips mutual funds allow invest small amounts regularly  benefiting rupee cost averaging  equity mutual funds  particular  ideal longterm growth  sips  low entry amounts  â¹500  potential higher returns time  3 sukanya samriddhi yojana  ssy  daughters governmentbacked scheme girl children offers high  taxfree returns lockin period daughter turns 21 benefits  safe  longterm savings tax deductions 80c  4 public provident fund  ppf  ppf offers guaranteed  taxfree returns 15year lockin period  making safe option riskaverse investors  ppf  reliable returns tax benefits  suitable longterm savings  5 childrenâs education plans insurance companies offer educationspecific plans combine life insurance savings  providing lump sum key milestones  key benefit  financial security case parentâs death  payouts timed education needs  6 national savings certificates  nsc  nsc provides fixed returns fiveyear lockin  making safe investment riskaverse parents  benefits  safe backed government  tax deductions 80c  7 childfocused mutual funds funds balance equity debt investments  designed specifically child education savings  choose  balanced risk flexible investment horizons  ideal longterm education goals  8 leverage education loans higher studies  consider education loans  especially expensive courses abroad  loans also offer tax benefits section 80e  consider  spreads education costs offers tax relief interest payments  9 utilize tax benefits many investment options  like ppf  ssy  education plans  offer tax deductions section 80c  helping reduce taxable income saving education  investing childâs future doesnât burden plan strategically  start early  plan carefully  use right investment avenues  ensure childâs education wellfunded  securing future protecting financial health ,"acc, iti",POSITIVE, hereâs guide effective strategies saving  1 start early plan ahead begin saving soon possible benefit compounding  estimate future education costs create dedicated savings account  tip  use online calculators estimate much need save monthly based goals  2 invest systematic investment plans  sips  sip mutual funds allow invest small amounts regularly  benefiting rupee cost averaging  equity mutual funds. 3 sukanya samriddhi yojana  ssy  daughters governmentbacked scheme girl children offers high  taxfree returns lockin period daughter turns 21 benefits  safe  longterm savings tax deductions 80c. 4 public provident fund  ppf  ppF offers guaranteed  tax free returns 15year lockin time making safe option riskaverse investors. 5 childrenâs education plans insurance companies offer educationspecific plans.
