,Symbol,Identifier,Company,ISIN
927,NLCINDIA,NLCINDIAEQN,NLC India Limited,INE589A01014
928,NUVOCO,NUVOCOEQN,Nuvoco Vistas Corporation Limited,INE118D01016
929,ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014
930,TANLA,TANLAEQN,Tanla Platforms Limited,INE483C01032
931,ALKYLAMINE,ALKYLAMINEEQN,Alkyl Amines Chemicals Limited,INE150B01039
932,ABBOTINDIA,ABBOTINDIAEQN,Abbott India Limited,INE358A01014
933,SUVENPHAR,SUVENPHAREQN,Suven Pharmaceuticals Limited,INE03QK01018
934,DEEPAKFERT,DEEPAKFERTEQN,Deepak Fertilizers And Petrochemicals Corporation Limited,INE501A01019
935,METROBRAND,METROBRANDEQN,Metro Brands Limited,INE317I01021
936,KPRMILL,KPRMILLEQN,K.P.R. Mill Limited,INE930H01031
937,NAM-INDIA,NAM-INDIAEQN,Nippon Life India Asset Management Limited,INE298J01013
938,LALPATHLAB,LALPATHLABEQN,Dr. Lal Path Labs Ltd.,INE600L01024
939,JSL,JSLEQN,Jindal Stainless Limited,INE220G01021
940,AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037
941,BIOCON,BIOCONEQN,Biocon Limited,INE376G01013
942,PATANJALI,PATANJALIEQN,Patanjali Foods Limited,INE619A01035
943,RAINBOW,RAINBOWEQN,Rainbow Childrens Medicare Limited,INE961O01016
944,CENTURYTEX,CENTURYTEXEQN,Century Textiles & Industries Limited,INE055A01016
945,ACC,ACCEQN,ACC Limited,INE012A01025
946,INDIANB,INDIANBEQN,Indian Bank,INE562A01011
947,EIDPARRY,EIDPARRYEQN,EID Parry India Limited,INE126A01031
948,SBFC,SBFCEQN,SBFC Finance Limited,INE423Y01016
949,JBMA,JBMAEQN,JBM Auto Limited,INE927D01044
950,POLYCAB,POLYCABEQN,Polycab India Limited,INE455K01017
951,TORNTPOWER,TORNTPOWEREQN,Torrent Power Limited,INE813H01021
952,ALOKINDS,ALOKINDSEQN,Alok Industries Limited,INE270A01029
953,MANYAVAR,MANYAVAREQN,Vedant Fashions Limited,INE825V01034
954,BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026
955,APLAPOLLO,APLAPOLLOEQN,APL Apollo Tubes Limited,INE702C01027
956,GPPL,GPPLEQN,Gujarat Pipavav Port Limited,INE517F01014
957,ASAHIINDIA,ASAHIINDIAEQN,Asahi India Glass Limited,INE439A01020
958,RTNINDIA,RTNINDIAEQN,RattanIndia Enterprises Limited,INE834M01019
959,GAEL,GAELEQN,Gujarat Ambuja Exports Limited,INE036B01030
960,CENTRALBK,CENTRALBKEQN,Central Bank of India,INE483A01010
961,TATAELXSI,TATAELXSIEQN,Tata Elxsi Limited,INE670A01012
962,SAMMAANCAP,SAMMAANCAPEQN,Sammaan Capital Limited,INE148I07NN5
963,PNBHOUSING,PNBHOUSINGEQN,PNB Housing Finance Limited,INE572E01012
964,BLUEDART,BLUEDARTEQN,Blue Dart Express Limited,INE233B08103
965,KAYNES,KAYNESEQN,Kaynes Technology India Limited,INE918Z01012
966,IGL,IGLEQN,Indraprastha Gas Limited,INE203G01027
967,RRKABEL,RRKABELEQN,R R Kabel Limited,INE777K01022
968,MAHABANK,MAHABANKEQN,Bank of Maharashtra,INE457A01014
969,FINCABLES,FINCABLESEQN,Finolex Cables Limited,INE235A01022
970,ABFRL,ABFRLEQN,Aditya Birla Fashion and Retail Limited,INE647O13016
971,PGHH,PGHHEQN,Procter & Gamble Hygiene and Health Care Limited,INE179A01014
972,M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D08MG3
973,TITAGARH,TITAGARHEQN,TITAGARH RAIL SYSTEMS LIMITED,INE615H01020
974,GSFC,GSFCEQN,Gujarat State Fertilizers & Chemicals Limited,INE026A01025
975,PERSISTENT,PERSISTENTEQN,Persistent Systems Limited,INE262H01021
976,GLENMARK,GLENMARKEQN,Glenmark Pharmaceuticals Limited,INE935A01035
977,FORTIS,FORTISEQN,Fortis Healthcare Limited,INE061F13018
978,YESBANK,YESBANKEQN,Yes Bank Limited,INE528G01035
979,POLICYBZR,POLICYBZREQN,PB Fintech Limited,INE417T01026
980,BIKAJI,BIKAJIEQN,Bikaji Foods International Limited,INE00E101023
981,REDINGTON,REDINGTONEQN,Redington Limited,INE891D01026
982,WELCORP,WELCORPEQN,Welspun Corp Limited,INE191B01025
983,INDIAMART,INDIAMARTEQN,Indiamart Intermesh Limited,INE933S01016
984,RENUKA,RENUKAEQN,Shree Renuka Sugars Limited,INE087H01022
985,ALLCARGO,ALLCARGOEQN,Allcargo Logistics Limited,INE418H01029
986,SUMICHEM,SUMICHEMEQN,Sumitomo Chemical India Limited,INE258G01013
987,ITI,ITIEQN,ITI Limited,INE248A01017
988,INDIGOPNTS,INDIGOPNTSEQN,Indigo Paints Limited,INE09VQ01012
989,ISEC,ISECEQN,ICICI Securities Limited,INE763G01038
990,TVSSCS,TVSSCSEQN,TVS Supply Chain Solutions Limited,INE395N01027
991,MSUMI,MSUMIEQN,Motherson Sumi Wiring India Limited,INE0FS801015
992,JUBLINGREA,JUBLINGREAEQN,Jubilant Ingrevia Limited,INE0BY001018
993,EASEMYTRIP,EASEMYTRIPEQN,Easy Trip Planners Limited,INE07O001026
994,ELGIEQUIP,ELGIEQUIPEQN,Elgi Equipments Limited,INE285A01027
995,HONAUT,HONAUTEQN,Honeywell Automation India Limited,INE671A01010
996,WHIRLPOOL,WHIRLPOOLEQN,Whirlpool of India Limited,INE716A01013
997,VTL,VTLEQN,Vardhman Textiles Limited,INE825A01020
998,SHYAMMETL,SHYAMMETLEQN,Shyam Metalics and Energy Limited,INE810G01011
999,SUZLON,SUZLONEQN,Suzlon Energy Limited,INE040H01021
1000,CDSL,CDSLEQN,Central Depository Services (India) Limited,INE736A01011
1001,GODREJIND,GODREJINDEQN,Godrej Industries Limited,INE233A01035
1002,GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027
1003,FACT,FACTEQN,Fertilizers and Chemicals Travancore Limited,INE188A01015
1004,PCBL,PCBLEQN,PCBL LIMITED,INE602A01031
1005,KFINTECH,KFINTECHEQN,Kfin Technologies Limited,INE138Y01010
1006,IRB,IRBEQN,IRB Infrastructure Developers Limited,INE821I01022
1007,AEGISLOG,AEGISLOGEQN,Aegis Logistics Limited,INE208C01025
1008,CIEINDIA,CIEINDIAEQN,CIE Automotive India Limited,INE536H01010
1009,TRIDENT,TRIDENTEQN,Trident Limited,INE064C01022
1010,LATENTVIEW,LATENTVIEWEQN,Latent View Analytics Limited,INE0I7C01011
1011,HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE169701013
1012,CARBORUNIV,CARBORUNIVEQN,Carborundum Universal Limited,INE120A01034
1013,JBCHEPHARM,JBCHEPHARMEQN,JB Chemicals & Pharmaceuticals Limited,INE572A01036
1014,IDFC,IDFCEQN,IDFC Limited,INE043D07AE5
1015,GLAND,GLANDEQN,Gland Pharma Limited,INE068V01023
1016,PHOENIXLTD,PHOENIXLTDEQN,The Phoenix Mills Limited,INE211B01039
1017,CHALET,CHALETEQN,Chalet Hotels Limited,INE427F01016
1018,NATCOPHARM,NATCOPHARMEQN,Natco Pharma Limited,INE987B01026
1019,MFSL,MFSLEQN,Max Financial Services Limited,INE180A01020
1020,KPITTECH,KPITTECHEQN,KPIT Technologies Limited,INE04I401011
1021,PRSMJOHNSN,PRSMJOHNSNEQN,Prism Johnson Limited,INE010A01011
1022,SUNTV,SUNTVEQN,Sun TV Network Limited,INE424H01027
1023,BBTC,BBTCEQN,Bombay Burmah Trading Corporation Limited,INE050A01025
1024,RBA,RBAEQN,Restaurant Brands Asia Limited,INE07T201019
1025,CUB,CUBEQN,City Union Bank Limited,INE491A01021
1026,HDFCAMC,HDFCAMCEQN,HDFC Asset Management Company Limited,INE127D01025
1027,TRIVENI,TRIVENIEQN,Triveni Engineering & Industries Limited,INE256C01024
1028,CLEAN,CLEANEQN,Clean Science and Technology Limited,INE227W01023
1029,GLAXO,GLAXOEQN,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016
1030,ACI,ACIEQN,Archean Chemical Industries Limited,INE128X01021
1031,NCC,NCCEQN,NCC Limited,INE868B01028
1032,HONASA,HONASAEQN,Honasa Consumer Limited,INE0J5401028
1033,MAHLIFE,MAHLIFEEQN,Mahindra Lifespace Developers Limited,INE813A01018
1034,CEATLTD,CEATLTDEQN,CEAT Limited,INE482A01020
1035,AWL,AWLEQN,Adani Wilmar Limited,INE699H01024
1036,COCHINSHIP,COCHINSHIPEQN,Cochin Shipyard Limited,INE704P01025
1037,GMMPFAUDLR,GMMPFAUDLREQN,GMM Pfaudler Limited,INE541A01023
1038,MTARTECH,MTARTECHEQN,Mtar Technologies Limited,INE864I01014
1039,MRF,MRFEQN,MRF Limited,INE883A01011
1040,CAMPUS,CAMPUSEQN,Campus Activewear Limited,INE278Y01022
1041,BAYERCROP,BAYERCROPEQN,Bayer Cropscience Limited,INE462A01022
1042,3MINDIA,3MINDIAEQN,3M India Limited,INE470A01017
1043,CSBBANK,CSBBANKEQN,CSB Bank Limited,INE679A01013
1044,CONCORDBIO,CONCORDBIOEQN,Concord Biotech Limited,INE338H01029
1045,DOMS,DOMSEQN,DOMS Industries Limited,INE321T01012
1046,PNCINFRA,PNCINFRAEQN,PNC Infratech Limited,INE195J01029
1047,UNIONBANK,UNIONBANKEQN,Union Bank of India,INE692A01016
1048,GSPL,GSPLEQN,Gujarat State Petronet Limited,INE246F01010
1049,BORORENEW,BORORENEWEQN,BOROSIL RENEWABLES LIMITED,INE666D01022
1050,APLLTD,APLLTDEQN,Alembic Pharmaceuticals Limited,INE901L01018
1051,TMB,TMBEQN,Tamilnad Mercantile Bank Limited,INE668A01016
1052,SUNDRMFAST,SUNDRMFASTEQN,Sundram Fasteners Limited,INE387A01021
1053,JYOTHYLAB,JYOTHYLABEQN,Jyothy Labs Limited,INE668F01031
1054,NYKAA,NYKAAEQN,FSN E-Commerce Ventures Limited,INE388Y01029
1055,OLECTRA,OLECTRAEQN,Olectra Greentech Limited,INE260D01016
1056,COFORGE,COFORGEEQN,Coforge Limited,INE591G01017
1057,TATAINVEST,TATAINVESTEQN,Tata Investment Corporation Limited,INE672A13013
1058,SUNTECK,SUNTECKEQN,Sunteck Realty Limited,INE805D01034
1059,ERIS,ERISEQN,Eris Lifesciences Limited,INE406M01024
1060,PRINCEPIPE,PRINCEPIPEEQN,Prince Pipes And Fittings Limited,INE689W01016
1061,BATAINDIA,BATAINDIAEQN,Bata India Limited,INE176A01028
1062,CCL,CCLEQN,CCL Products (India) Limited,INE421D01022
1063,KSB,KSBEQN,Ksb Limited,INE999A01023
1064,NAVINFLUOR,NAVINFLUOREQN,Navin Fluorine International Limited,INE048G01026
1065,360ONE,360ONEEQN,360 ONE WAM LIMITED,INE466L01038
1066,LTTS,LTTSEQN,L&T Technology Services Limited,INE010V01017
1067,NH,NHEQN,Narayana Hrudayalaya Ltd.,INE410P01011
1068,KIMS,KIMSEQN,Krishna Institute of Medical Sciences Limited,INE967H01017
1069,BDL,BDLEQN,Bharat Dynamics Limited,INE171Z01026
1070,BANKINDIA,BANKINDIAEQN,Bank of India,INE084A01016
1071,AMBER,AMBEREQN,Amber Enterprises India Limited,INE371P01015
1072,JKPAPER,JKPAPEREQN,JK Paper Limited,INE789E01012
1073,J&KBANK,J&KBANKEQN,The Jammu & Kashmir Bank Limited,INE168A01041
1074,TEJASNET,TEJASNETEQN,Tejas Networks Limited,INE010J01012
1075,ENGINERSIN,ENGINERSINEQN,Engineers India Limited,INE510A01028
1076,INTELLECT,INTELLECTEQN,Intellect Design Arena Limited,INE306R01017
1077,CGPOWER,CGPOWEREQN,CG Power and Industrial Solutions Limited,INE067A01029
1078,JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020
1079,IEX,IEXEQN,Indian Energy Exchange Limited,INE022Q01020
1080,HAPPSTMNDS,HAPPSTMNDSEQN,Happiest Minds Technologies Limited,INE419U01012
1081,LODHA,LODHAEQN,Macrotech Developers Limited,INE670K01029
1082,SPARC,SPARCEQN,Sun Pharma Advanced Research Company Limited,INE232I01014
1083,VARROC,VARROCEQN,Varroc Engineering Limited,INE665L01035
1084,SAFARI,SAFARIEQN,Safari Industries (India) Limited,INE429E01023
1085,PAGEIND,PAGEINDEQN,Page Industries Limited,INE761H01022
1086,MAZDOCK,MAZDOCKEQN,Mazagon Dock Shipbuilders Limited,INE249Z01012
1087,AJANTPHARM,AJANTPHARMEQN,Ajanta Pharma Limited,INE031B01049
1088,FINPIPE,FINPIPEEQN,Finolex Industries Limited,INE183A01024
1089,TRITURBINE,TRITURBINEEQN,Triveni Turbine Limited,INE152M01016
1090,GESHIP,GESHIPEQN,The Great Eastern Shipping Company Limited,INE017A01032
1091,QUESS,QUESSEQN,Quess Corp Limited,INE615P01015
1092,BEML,BEMLEQN,BEML Limited,INE258A01016
1093,ANGELONE,ANGELONEEQN,Angel One Limited,INE732I01013
1094,KRBL,KRBLEQN,KRBL Limited,INE001B01026
1095,VIPIND,VIPINDEQN,VIP Industries Limited,INE054A01027
1096,CHEMPLASTS,CHEMPLASTSEQN,Chemplast Sanmar Limited,INE488A01050
1097,PVRINOX,PVRINOXEQN,PVR INOX Limited,INE191H01014
1098,WESTLIFE,WESTLIFEEQN,WESTLIFE FOODWORLD LIMITED,INE274F01020
1099,STARHEALTH,STARHEALTHEQN,Star Health and Allied Insurance Company Limited,INE575P01011
1100,LXCHEM,LXCHEMEQN,Laxmi Organic Industries Limited,INE576O01020
1101,KAJARIACER,KAJARIACEREQN,Kajaria Ceramics Limited,INE217B01036
1102,GUJGASLTD,GUJGASLTDEQN,Gujarat Gas Limited,INE844O01030
1103,KANSAINER,KANSAINEREQN,Kansai Nerolac Paints Limited,INE531A01024
1104,JKCEMENT,JKCEMENTEQN,JK Cement Limited,INE823G01014
1105,TATATECH,TATATECHEQN,Tata Technologies Limited,INE142M01025
1106,IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CP8
1107,ACE,ACEEQN,Action Construction Equipment Limited,INE731H01025
1108,HBLPOWER,HBLPOWEREQN,HBL Power Systems Limited,INE292B01021
1109,PPLPHARMA,PPLPHARMAEQN,Piramal Pharma Limited,INE0DK501011
1110,LEMONTREE,LEMONTREEEQN,Lemon Tree Hotels Limited,INE970X01018
1111,COROMANDEL,COROMANDELEQN,Coromandel International Limited,INE169A08010
1112,OFSS,OFSSEQN,Oracle Financial Services Software Limited,INE881D01027
1113,CENTURYPLY,CENTURYPLYEQN,Century Plyboards (India) Limited,INE348B01021
1114,CGCL,CGCLEQN,Capri Global Capital Limited,INE180C01042
1115,GILLETTE,GILLETTEEQN,Gillette India Limited,INE322A01010
1116,KEC,KECEQN,KEC International Limited,INE389H01022
1117,CERA,CERAEQN,Cera Sanitaryware Limited,INE739E01017
1118,FDC,FDCEQN,FDC Limited,INE258B01022
1119,GODFRYPHLP,GODFRYPHLPEQN,Godfrey Phillips India Limited,INE260B01028
1120,SWANENERGY,SWANENERGYEQN,Swan Energy Limited,INE665A01038
1121,ENDURANCE,ENDURANCEEQN,Endurance Technologies Limited,INE913H01037
1122,DCMSHRIRAM,DCMSHRIRAMEQN,DCM Shriram Limited,INE499A01024
1123,EMAMILTD,EMAMILTDEQN,Emami Limited,INE548C01032
1124,MRPL,MRPLEQN,Mangalore Refinery and Petrochemicals Limited,INE103A04018
1125,NBCC,NBCCEQN,NBCC (India) Limited,INE095N01031
1126,APTUS,APTUSEQN,Aptus Value Housing Finance India Limited,INE852O01025
1127,VAIBHAVGBL,VAIBHAVGBLEQN,Vaibhav Global Limited,INE884A01027
1128,CAMS,CAMSEQN,Computer Age Management Services Limited,INE596I01012
1129,TIMKEN,TIMKENEQN,Timken India Limited,INE325A01013
1130,SKFINDIA,SKFINDIAEQN,SKF India Limited,INE640A01023
1131,CESC,CESCEQN,CESC Limited,INE486A01021
1132,ANURAS,ANURASEQN,Anupam Rasayan India Limited,INE930P13013
1133,CELLO,CELLOEQN,Cello World Limited,INE0LMW01024
1134,SYNGENE,SYNGENEEQN,Syngene International Limited,INE398R01022
1135,GRAPHITE,GRAPHITEEQN,Graphite India Limited,INE371A01025
1136,HEG,HEGEQN,HEG Limited,INE545A01016
1137,JSWINFRA,JSWINFRAEQN,JSW Infrastructure Limited,INE880J01026
1138,ECLERX,ECLERXEQN,eClerx Services Limited,INE738I01010
1139,HAPPYFORGE,HAPPYFORGEEQN,Happy Forgings Limited,INE330T01021
1140,HUDCO,HUDCOEQN,Housing & Urban Development Corporation Limited,INE031A07857
1141,IIFL,IIFLEQN,IIFL Finance Limited,INE530B07138
1142,RADICO,RADICOEQN,Radico Khaitan Limited,INE944F01028
1143,GPIL,GPILEQN,Godawari Power And Ispat limited,INE177H01021
1144,JUSTDIAL,JUSTDIALEQN,Just Dial Limited,INE599M01018
1145,ANANDRATHI,ANANDRATHIEQN,Anand Rathi Wealth Limited,INE463V01026
1146,MEDANTA,MEDANTAEQN,Global Health Limited,INE474Q01031
1147,FINEORG,FINEORGEQN,Fine Organic Industries Limited,INE686Y01026
1148,BSE,BSEEQN,BSE Limited,INE118H01025
1149,RAYMOND,RAYMONDEQN,Raymond Limited,INE301A01014
1150,CROMPTON,CROMPTONEQN,Crompton Greaves Consumer Electricals Limited,INE299U01018
1151,KALYANKJIL,KALYANKJILEQN,Kalyan Jewellers India Limited,INE303R01014
1152,RAJESHEXPO,RAJESHEXPOEQN,Rajesh Exports Limited,INE343B01030
1153,DEEPAKNTR,DEEPAKNTREQN,Deepak Nitrite Limited,INE288B01029
1154,HINDZINC,HINDZINCEQN,Hindustan Zinc Limited,INE267A01025
1155,CRISIL,CRISILEQN,CRISIL Limited,INE007A01025
1156,JUBLPHARMA,JUBLPHARMAEQN,Jubilant Pharmova Limited,INE700A01033
1157,RITES,RITESEQN,RITES Limited,INE320J01015
1158,POLYMED,POLYMEDEQN,Poly Medicure Limited,INE205C01021
1159,MHRIL,MHRILEQN,Mahindra Holidays & Resorts India Limited,INE998I01010
1160,SONACOMS,SONACOMSEQN,Sona BLW Precision Forgings Limited,INE073K01018
1161,AETHER,AETHEREQN,Aether Industries Limited,INE0BWX01014
1162,SUNDARMFIN,SUNDARMFINEQN,Sundaram Finance Limited,INE660A01013
1163,AVANTIFEED,AVANTIFEEDEQN,Avanti Feeds Limited,INE871C01038
1164,OIL,OILEQN,Oil India Limited,INE274J01014
1165,EPL,EPLEQN,EPL Limited,INE255A01020
1166,PRESTIGE,PRESTIGEEQN,Prestige Estates Projects Limited,INE811K01011
1167,LINDEINDIA,LINDEINDIAEQN,Linde India Limited,INE473A01011
1168,SANOFI,SANOFIEQN,Sanofi India Limited,INE058A01010
1169,MCX,MCXEQN,Multi Commodity Exchange of India Limited,INE745G01035
1170,KNRCON,KNRCONEQN,KNR Constructions Limited,INE634I01029
1171,RAILTEL,RAILTELEQN,Railtel Corporation Of India Limited,INE0DD101019
1172,VGUARD,VGUARDEQN,V-Guard Industries Limited,INE951I01027
1173,GMDCLTD,GMDCLTDEQN,Gujarat Mineral Development Corporation Limited,INE131A01031
1174,PRAJIND,PRAJINDEQN,Praj Industries Limited,INE074A01025
1175,UJJIVANSFB,UJJIVANSFBEQN,Ujjivan Small Finance Bank Limited,INE551W01018
1176,SAPPHIRE,SAPPHIREEQN,Sapphire Foods India Limited,INE806T01012
1177,JWL,JWLEQN,Jupiter Wagons Limited,INE209L01016
1178,MAPMYINDIA,MAPMYINDIAEQN,C.E. Info Systems Limited,INE0BV301023
1179,CHENNPETRO,CHENNPETROEQN,Chennai Petroleum Corporation Limited,INE178A01016
1180,DEVYANI,DEVYANIEQN,Devyani International Limited,INE872J01023
1181,GRSE,GRSEEQN,Garden Reach Shipbuilders & Engineers Limited,INE382Z01011
1182,POWERINDIA,POWERINDIAEQN,Hitachi Energy India Limited,INE07Y701011
1183,EQUITASBNK,EQUITASBNKEQN,Equitas Small Finance Bank Limited,INE063P01018
1184,IRCON,IRCONEQN,Ircon International Limited,INE962Y01021
1185,CASTROLIND,CASTROLINDEQN,Castrol India Limited,INE172A01027
1186,AAVAS,AAVASEQN,Aavas Financiers Limited,INE216P01012
1187,MEDPLUS,MEDPLUSEQN,Medplus Health Services Limited,INE804L01022
1188,GLS,GLSEQN,Glenmark Life Sciences Limited,INE03Q201024
1189,DATAPATTNS,DATAPATTNSEQN,Data Patterns (India) Limited,INE0IX101010
1190,TTML,TTMLEQN,Tata Teleservices (Maharashtra) Limited,INE517B01013
1191,SOBHA,SOBHAEQN,Sobha Limited,INE671H01015
1192,UBL,UBLEQN,United Breweries Limited,INE686F01025
1193,FEDERALBNK,FEDERALBNKEQN,The Federal Bank  Limited,INE171A01029
1194,RVNL,RVNLEQN,Rail Vikas Nigam Limited,INE415G01027
1195,MANKIND,MANKINDEQN,Mankind Pharma Limited,INE634S01028
1196,RKFORGE,RKFORGEEQN,Ramkrishna Forgings Limited,INE399G01023
1197,ROUTE,ROUTEEQN,ROUTE MOBILE LIMITED,INE450U01017
1198,CYIENT,CYIENTEQN,Cyient Limited,INE136B01020
1199,MMTC,MMTCEQN,MMTC Limited,INE123F01029
1200,SHRIRAMFIN,SHRIRAMFINEQN,Shriram Finance Limited,INE721A07PO9
1201,CIPLA,CIPLAEQN,Cipla Limited,INE059A01026
1202,DIVISLAB,DIVISLABEQN,Divi's Laboratories Limited,INE361B01024
1203,TATAPOWER,TATAPOWEREQN,Tata Power Company Limited,INE245A01021
1204,BHARTIARTL,BHARTIARTLEQN,Bharti Airtel Limited,INE397D01024
1205,APOLLOHOSP,APOLLOHOSPEQN,Apollo Hospitals Enterprise Limited,INE437A01024
1206,VEDL,VEDLEQN,Vedanta Limited,INE205A01025
1207,JINDALSTEL,JINDALSTELEQN,Jindal Steel & Power Limited,INE749A01030
1208,ADANIPORTS,ADANIPORTSEQN,Adani Ports and Special Economic Zone Limited,INE742F01042
1209,CHOLAFIN,CHOLAFINEQN,Cholamandalam Investment and Finance Company Limited,INE121A13011
1210,WIPRO,WIPROEQN,Wipro Limited,INE075A01022
1211,TATASTEEL,TATASTEELEQN,TATA Steel Limited,INE081A03018
1212,ADANIENT,ADANIENTEQN,Adani Enterprises Limited,INE423A01024
1213,SUNPHARMA,SUNPHARMAEQN,Sun Pharmaceutical Industries Limited,INE044A04014
1214,SBILIFE,SBILIFEEQN,SBI Life Insurance Company Limited,INE123W01016
1215,LTIM,LTIMEQN,LTIMindtree Limited,INE214T01019
1216,HCLTECH,HCLTECHEQN,HCL Technologies Limited,INE860A01027
1217,ICICIPRULI,ICICIPRULIEQN,ICICI Prudential Life Insurance Company Limited,INE726G01019
1218,HINDALCO,HINDALCOEQN,Hindalco Industries Limited,INE038A01020
1219,PFC,PFCEQN,Power Finance Corporation Limited,INE134E07422
1220,INFY,INFYEQN,Infosys Limited,INE009A01021
1221,BEL,BELEQN,Bharat Electronics Limited,INE263A01024
1222,ABB,ABBEQN,ABB India Limited,INE117A01022
1223,HDFCLIFE,HDFCLIFEEQN,HDFC Life Insurance Company Limited,INE795G01014
1224,COALINDIA,COALINDIAEQN,Coal India Limited,INE522F01014
1225,JSWSTEEL,JSWSTEELEQN,JSW Steel Limited,INE019A01038
1226,NAUKRI,NAUKRIEQN,Info Edge (India) Limited,INE663F01024
1227,ZOMATO,ZOMATOEQN,Zomato Limited,INE758T01015
1228,ADANIPOWER,ADANIPOWEREQN,Adani Power Limited,INE814H01011
1229,RECLTD,RECLTDEQN,REC Limited,INE020B07IF7
1230,LICI,LICIEQN,Life Insurance Corporation Of India,INE0J1Y01017
1231,M&M,M&MEQN,Mahindra & Mahindra Limited,INE101A01026
1232,SRF,SRFEQN,SRF Limited,INE647A01010
1233,TORNTPHARM,TORNTPHARMEQN,Torrent Pharmaceuticals Limited,INE685A01028
1234,MOTHERSON,MOTHERSONEQN,Samvardhana Motherson International Limited,INE775A01035
1235,ITC,ITCEQN,ITC Limited,INE154A01025
1236,TVSMOTOR,TVSMOTOREQN,TVS Motor Company Limited,INE494B01023
1237,TATAMOTORS,TATAMOTORSEQN,Tata Motors Limited,INE155A01022
1238,TITAN,TITANEQN,Titan Company Limited,INE280A07025
1239,EICHERMOT,EICHERMOTEQN,Eicher Motors Limited,INE066A01021
1240,BAJFINANCE,BAJFINANCEEQN,Bajaj Finance Limited,INE296A13011
1241,BAJAJ-AUTO,BAJAJ-AUTOEQN,Bajaj Auto Limited,INE917I01010
1242,LT,LTEQN,Larsen & Toubro Limited,INE018A01030
1243,TATAMTRDVR,TATAMTRDVREQN,Tata Motors Limited,IN9155A01020
1244,KOTAKBANK,KOTAKBANKEQN,Kotak Mahindra Bank Limited,INE237A01028
1245,BERGEPAINT,BERGEPAINTEQN,Berger Paints (I) Limited,INE463A01038
1246,DLF,DLFEQN,DLF Limited,INE271C01023
1247,ULTRACEMCO,ULTRACEMCOEQN,UltraTech Cement Limited,INE481G01011
1248,INDUSINDBK,INDUSINDBKEQN,IndusInd Bank Limited,INE095A01012
1249,PNB,PNBEQN,Punjab National Bank,INE160A01022
1250,BANKBARODA,BANKBARODAEQN,Bank of Baroda,INE028A01039
1251,CANBK,CANBKEQN,Canara Bank,INE476A01022
1252,GRASIM,GRASIMEQN,Grasim Industries Limited,INE047A01021
1253,TCS,TCSEQN,Tata Consultancy Services Limited,INE467B01029
1254,ASIANPAINT,ASIANPAINTEQN,Asian Paints Limited,INE021A01026
1255,HAL,HALEQN,Hindustan Aeronautics Limited,INE066F01020
1256,ICICIBANK,ICICIBANKEQN,ICICI Bank Limited,INE090A01021
1257,VBL,VBLEQN,Varun Beverages Limited,INE200M01021
1258,DRREDDY,DRREDDYEQN,Dr. Reddy's Laboratories Limited,INE089A08051
1259,HEROMOTOCO,HEROMOTOCOEQN,Hero MotoCorp Limited,INE158A01026
1260,POWERGRID,POWERGRIDEQN,Power Grid Corporation of India Limited,INE752E01010
1261,AMBUJACEM,AMBUJACEMEQN,Ambuja Cements Limited,INE079A01024
1262,IRCTC,IRCTCEQN,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020
1263,SBIN,SBINEQN,State Bank of India,INE062A01020
1264,TRENT,TRENTEQN,Trent Limited,INE849A13017
1265,MARUTI,MARUTIEQN,Maruti Suzuki India Limited,INE585B01010
1266,SIEMENS,SIEMENSEQN,Siemens Limited,INE003A01024
1267,INDIGO,INDIGOEQN,InterGlobe Aviation Limited,INE646L01027
1268,RELIANCE,RELIANCEEQN,Reliance Industries Limited,INE002A01018
1269,NTPC,NTPCEQN,NTPC Limited,INE733E07JH3
1270,BPCL,BPCLEQN,Bharat Petroleum Corporation Limited,INE029A01011
1271,JIOFIN,JIOFINEQN,Jio Financial Services Limited,INE758E01017
1272,PIDILITIND,PIDILITINDEQN,Pidilite Industries Limited,INE318A01026
1273,ATGL,ATGLEQN,Adani Total Gas Limited,INE399L01023
1274,BAJAJFINSV,BAJAJFINSVEQN,Bajaj Finserv Limited,INE918I01026
1275,GAIL,GAILEQN,GAIL (India) Limited,INE129A01019
1276,TECHM,TECHMEQN,Tech Mahindra Limited,INE669C01036
1277,SHREECEM,SHREECEMEQN,SHREE CEMENT LIMITED,INE070A01015
1278,BAJAJHLDNG,BAJAJHLDNGEQN,Bajaj Holdings & Investment Limited,INE118A01012
1279,HAVELLS,HAVELLSEQN,Havells India Limited,INE176B01034
1280,BRITANNIA,BRITANNIAEQN,Britannia Industries Limited,INE216A07052
1281,MARICO,MARICOEQN,Marico Limited,INE196A01026
1282,ZYDUSLIFE,ZYDUSLIFEEQN,Zydus Lifesciences Limited,INE010B01027
