title,url,type,date,content
How a research analyst's article led Sebi to Axis Capital's 'high-risk transaction',https://www.moneycontrol.com/news/business/markets/sebis-action-on-axis-capital-research-analysts-article-tipped-off-the-regulator-about-high-risk-transaction-12825839.html,general," September 19, 2024 / 21:04   ","A registered research analyst's article had flagged the irregularity in Axis Capital's (ACL's) handling of a non-convertible debenture issue to the market regulator. It was an article by Hemindra Kishen Hazari, titled ""Is Axis Capital an Investment Bank or a Hedge Fund"" and dated January 16, 2024, that brought the regulator's attention to the NCD issue. On September 19, the Securities and Exchange Board of India (Sebi) passed an interim order restraining ACL from taking any new assignments in the capacity of a merchant banker, arranger or underwriter for any issue or offer for sale of securities in the debt segment until further orders. Also read: Sebi bars Axis Capital from acting as investment banker in debt market until further orders The order passed by Sebi's Whole-time Member (WTM) Ashwani Bhatia stated that Hazari's article highlighted certain concerns regarding a high-risk transaction undertaken by ACL, a Sebi-registered merchant banker and a wholly owned subsidiary of the Axis Bank. Following the reading of this article, the regulator's officials conducted an inspection of ACL. The inspection examined whether the transaction undertaken by ACL in respect of listed Non-Convertible Debentures (“NCDs”) of Sojo Infotel Pvt. Ltd. The regulator passed an interim order stating that ACL provided guarantee for the NCD issue in the guise of underwriting, which is not permitted under the existing regulatory framework. The regulator even found such an arrangement posing a risk to the financial system as ""it can potentially disrupt the orderly functioning of the market"". Hazari, according to his webpage, is a commentator with over 25 years of experience in the Indian capital markets. He has specialised in research on banking and the macro-economy. The page added, ""He has managerial experience of establishing profitable equities business, leading and mentoring analysts."" What was the arrangement ACL came to?For the NCD issue, a debenture trustee deed (DTD) was executed between Sojo, Axis Debenture Trustee (ADT) and ACL. Sojo had pledged the shares of LIL as security cover for the NCD issue. Under the DTD, if there a default, the debenture trustee would invoke a pledge. Then, according to the DTD, if ACL is not able to find buyers for the pledged shares, it would have to fulfil its ""underwriting commitment"", by having to purchase or fund the purchase of these pledged shares. As the order noted, ""ACL was unconditionally, unequivocally and irrevocablyobligated to purchase or fund the purchase of the Pledged Shares."" The order stated, ""The commitment provided by ACL in respect of NCDs of Sojo cannot be termed as an underwriting activity as it was not an agreement to “subscribe to or procure subscription for securities, issued or offered for sale, remaining unsubscribed.” Rather, it was a guarantee to redeem the NCDs of Sojo in the event of default on maturity."" The order noted that, with this arrangement, ACL went beyond the mandate of issue management and its activity was in contravention of the definition of underwriting and the role of Merchant Banker as defined in MB Regulations, 1992.
       "
"According to the regulator's order, a January 2024 article by RA Hemindra Kishen Hazari was the first to flag concerns on this issue",https://www.moneycontrol.com/news/business/markets/sebis-action-on-axis-capital-research-analysts-article-tipped-off-the-regulator-about-high-risk-transaction-12825839.html,general," September 19, 2024 / 21:04   ","A registered research analyst's article had flagged the irregularity in Axis Capital's (ACL's) handling of a non-convertible debenture issue to the market regulator. It was an article by Hemindra Kishen Hazari, titled ""Is Axis Capital an Investment Bank or a Hedge Fund"" and dated January 16, 2024, that brought the regulator's attention to the NCD issue. On September 19, the Securities and Exchange Board of India (Sebi) passed an interim order restraining ACL from taking any new assignments in the capacity of a merchant banker, arranger or underwriter for any issue or offer for sale of securities in the debt segment until further orders. Also read: Sebi bars Axis Capital from acting as investment banker in debt market until further orders The order passed by Sebi's Whole-time Member (WTM) Ashwani Bhatia stated that Hazari's article highlighted certain concerns regarding a high-risk transaction undertaken by ACL, a Sebi-registered merchant banker and a wholly owned subsidiary of the Axis Bank. Following the reading of this article, the regulator's officials conducted an inspection of ACL. The inspection examined whether the transaction undertaken by ACL in respect of listed Non-Convertible Debentures (“NCDs”) of Sojo Infotel Pvt. Ltd. The regulator passed an interim order stating that ACL provided guarantee for the NCD issue in the guise of underwriting, which is not permitted under the existing regulatory framework. The regulator even found such an arrangement posing a risk to the financial system as ""it can potentially disrupt the orderly functioning of the market"". Hazari, according to his webpage, is a commentator with over 25 years of experience in the Indian capital markets. He has specialised in research on banking and the macro-economy. The page added, ""He has managerial experience of establishing profitable equities business, leading and mentoring analysts."" What was the arrangement ACL came to?For the NCD issue, a debenture trustee deed (DTD) was executed between Sojo, Axis Debenture Trustee (ADT) and ACL. Sojo had pledged the shares of LIL as security cover for the NCD issue. Under the DTD, if there a default, the debenture trustee would invoke a pledge. Then, according to the DTD, if ACL is not able to find buyers for the pledged shares, it would have to fulfil its ""underwriting commitment"", by having to purchase or fund the purchase of these pledged shares. As the order noted, ""ACL was unconditionally, unequivocally and irrevocablyobligated to purchase or fund the purchase of the Pledged Shares."" The order stated, ""The commitment provided by ACL in respect of NCDs of Sojo cannot be termed as an underwriting activity as it was not an agreement to “subscribe to or procure subscription for securities, issued or offered for sale, remaining unsubscribed.” Rather, it was a guarantee to redeem the NCDs of Sojo in the event of default on maturity."" The order noted that, with this arrangement, ACL went beyond the mandate of issue management and its activity was in contravention of the definition of underwriting and the role of Merchant Banker as defined in MB Regulations, 1992.
       "
How a research analyst's article led Sebi to Axis Capital's 'high-risk transaction',https://www.moneycontrol.com/news/business/markets/sebis-action-on-axis-capital-research-analysts-article-tipped-off-the-regulator-about-high-risk-transaction-12825839.html,general," September 19, 2024 / 21:04   ","A registered research analyst's article had flagged the irregularity in Axis Capital's (ACL's) handling of a non-convertible debenture issue to the market regulator. It was an article by Hemindra Kishen Hazari, titled ""Is Axis Capital an Investment Bank or a Hedge Fund"" and dated January 16, 2024, that brought the regulator's attention to the NCD issue. On September 19, the Securities and Exchange Board of India (Sebi) passed an interim order restraining ACL from taking any new assignments in the capacity of a merchant banker, arranger or underwriter for any issue or offer for sale of securities in the debt segment until further orders. Also read: Sebi bars Axis Capital from acting as investment banker in debt market until further orders The order passed by Sebi's Whole-time Member (WTM) Ashwani Bhatia stated that Hazari's article highlighted certain concerns regarding a high-risk transaction undertaken by ACL, a Sebi-registered merchant banker and a wholly owned subsidiary of the Axis Bank. Following the reading of this article, the regulator's officials conducted an inspection of ACL. The inspection examined whether the transaction undertaken by ACL in respect of listed Non-Convertible Debentures (“NCDs”) of Sojo Infotel Pvt. Ltd. The regulator passed an interim order stating that ACL provided guarantee for the NCD issue in the guise of underwriting, which is not permitted under the existing regulatory framework. The regulator even found such an arrangement posing a risk to the financial system as ""it can potentially disrupt the orderly functioning of the market"". Hazari, according to his webpage, is a commentator with over 25 years of experience in the Indian capital markets. He has specialised in research on banking and the macro-economy. The page added, ""He has managerial experience of establishing profitable equities business, leading and mentoring analysts."" What was the arrangement ACL came to?For the NCD issue, a debenture trustee deed (DTD) was executed between Sojo, Axis Debenture Trustee (ADT) and ACL. Sojo had pledged the shares of LIL as security cover for the NCD issue. Under the DTD, if there a default, the debenture trustee would invoke a pledge. Then, according to the DTD, if ACL is not able to find buyers for the pledged shares, it would have to fulfil its ""underwriting commitment"", by having to purchase or fund the purchase of these pledged shares. As the order noted, ""ACL was unconditionally, unequivocally and irrevocablyobligated to purchase or fund the purchase of the Pledged Shares."" The order stated, ""The commitment provided by ACL in respect of NCDs of Sojo cannot be termed as an underwriting activity as it was not an agreement to “subscribe to or procure subscription for securities, issued or offered for sale, remaining unsubscribed.” Rather, it was a guarantee to redeem the NCDs of Sojo in the event of default on maturity."" The order noted that, with this arrangement, ACL went beyond the mandate of issue management and its activity was in contravention of the definition of underwriting and the role of Merchant Banker as defined in MB Regulations, 1992.
       "
How a research analyst's article led Sebi to Axis Capital's 'high-risk transaction',https://www.moneycontrol.com/news/business/markets/sebis-action-on-axis-capital-research-analysts-article-tipped-off-the-regulator-about-high-risk-transaction-12825839.html,general," September 19, 2024 / 21:04   ","A registered research analyst's article had flagged the irregularity in Axis Capital's (ACL's) handling of a non-convertible debenture issue to the market regulator. It was an article by Hemindra Kishen Hazari, titled ""Is Axis Capital an Investment Bank or a Hedge Fund"" and dated January 16, 2024, that brought the regulator's attention to the NCD issue. On September 19, the Securities and Exchange Board of India (Sebi) passed an interim order restraining ACL from taking any new assignments in the capacity of a merchant banker, arranger or underwriter for any issue or offer for sale of securities in the debt segment until further orders. Also read: Sebi bars Axis Capital from acting as investment banker in debt market until further orders The order passed by Sebi's Whole-time Member (WTM) Ashwani Bhatia stated that Hazari's article highlighted certain concerns regarding a high-risk transaction undertaken by ACL, a Sebi-registered merchant banker and a wholly owned subsidiary of the Axis Bank. Following the reading of this article, the regulator's officials conducted an inspection of ACL. The inspection examined whether the transaction undertaken by ACL in respect of listed Non-Convertible Debentures (“NCDs”) of Sojo Infotel Pvt. Ltd. The regulator passed an interim order stating that ACL provided guarantee for the NCD issue in the guise of underwriting, which is not permitted under the existing regulatory framework. The regulator even found such an arrangement posing a risk to the financial system as ""it can potentially disrupt the orderly functioning of the market"". Hazari, according to his webpage, is a commentator with over 25 years of experience in the Indian capital markets. He has specialised in research on banking and the macro-economy. The page added, ""He has managerial experience of establishing profitable equities business, leading and mentoring analysts."" What was the arrangement ACL came to?For the NCD issue, a debenture trustee deed (DTD) was executed between Sojo, Axis Debenture Trustee (ADT) and ACL. Sojo had pledged the shares of LIL as security cover for the NCD issue. Under the DTD, if there a default, the debenture trustee would invoke a pledge. Then, according to the DTD, if ACL is not able to find buyers for the pledged shares, it would have to fulfil its ""underwriting commitment"", by having to purchase or fund the purchase of these pledged shares. As the order noted, ""ACL was unconditionally, unequivocally and irrevocablyobligated to purchase or fund the purchase of the Pledged Shares."" The order stated, ""The commitment provided by ACL in respect of NCDs of Sojo cannot be termed as an underwriting activity as it was not an agreement to “subscribe to or procure subscription for securities, issued or offered for sale, remaining unsubscribed.” Rather, it was a guarantee to redeem the NCDs of Sojo in the event of default on maturity."" The order noted that, with this arrangement, ACL went beyond the mandate of issue management and its activity was in contravention of the definition of underwriting and the role of Merchant Banker as defined in MB Regulations, 1992.
       "
Trade setup for Friday: Top 15 things to know before the opening bell,https://www.moneycontrol.com/news/business/markets/trade-setup-for-friday-top-15-things-to-know-before-the-opening-bell-62-12825857.html,general," September 19, 2024 / 22:10   ","The benchmark indices reacted positively to the 50 bps cut in the federal funds rate, with the Nifty 50 rising 235 points to over 25,600 intraday. However, it could not sustain all of those gains due to profit booking, ending with a 38-point gain at 25,416 on September 19. The index failed to sustain above the upward-sloping resistance trendline, which is crucial for a further upward move towards 25,600. Until then, it may consolidate with support at 25,300, according to experts. Below are 15 data points we have collated to help you spot profitable trades:  Here are 15 data points we have collated to help you spot profitable trades: 1) Key Levels For The Nifty 50 Resistance based on pivot points: 25,558, 25,614, and 25,704 Support based on pivot points: 25,378, 25,322, and 25,232 Special Formation: The Nifty 50 formed a bearish candlestick pattern with a long upper shadow on the daily charts, indicating profit booking at higher levels. However, it remained above all key moving averages, with a positive bias in momentum indicators such as the RSI (Relative Strength Index) and MACD (Moving Average Convergence Divergence). 2) Key Levels For The Bank Nifty Resistance based on pivot points: 53,273, 53,392, and 53,585 Support based on pivot points: 52,887, 52,767, and 52,574 Resistance based on Fibonacci retracement: 53,362, 54,368 Support based on Fibonacci retracement: 52,491, 51,949 Special Formation: The Bank Nifty continued to outperform the benchmark Nifty 50, hitting a fresh record high by rising 287 points to close at 53,038. The index formed a bullish candlestick pattern with a long upper shadow on the daily charts, resembling a Shooting Star pattern at the high (which is a bearish reversal pattern), signalling some profit booking at the peak. The index continued its higher highs-higher lows formation for the sixth consecutive session.  3) Nifty Call Options Data According to the weekly options data, the 25,400 strike holds the maximum open interest (with 2.41 crore contracts). This level can act as a key level for the Nifty in the short term. It was followed by the 25,500 strike (1.38 crore contracts) and the 26,000 strike (1.1 crore contracts). Maximum Call writing was observed at the 25,400 strike, which saw an addition of 1.84 crore contracts, followed by the 25,500 and 25,800 strikes, which added 69.14 lakh and 39.97 lakh contracts, respectively. The maximum unwinding was seen at the 25,300 strike, which shed 10.42 lakh contracts, followed by the 26,500 and 25,200 strikes, which shed 9.97 lakh and 4.37 lakh contracts, respectively.  4) Nifty Put Options Data On the Put side, the maximum open interest was seen at the 25,400 strike (with 2.09 crore contracts), which can act as a key level for the Nifty. It was followed by the 25,000 strike (90.77 lakh contracts) and the 25,500 strike (71.81 lakh contracts). The maximum Put writing was observed at the 25,400 strike, which saw an addition of 1.79 crore contracts, followed by the 25,500 and 25,300 strikes, with 62.21 lakh and 26.93 lakh contracts added, respectively, while the Put unwinding was seen at the 24,500 strike, which shed 25.7 lakh contracts, followed by the 24,400 and 24,300 strikes, which shed 7.22 lakh and 7.04 lakh contracts, respectively.  5) Bank Nifty Call Options Data According to the monthly options data, the 53,000 strike holds maximum open interest, with 21.35 lakh contracts. This can act as a key resistance level for the index in the short term. It was followed by the 53,500 strike (21.18 lakh contracts) and the 54,000 strike (19.32 lakh contracts). Maximum Call writing was visible at the 53,200 strike (with the addition of 8.27 lakh contracts), followed by the 53,500 strike (7.9 lakh contracts) and the 54,000 strike (7.86 lakh contracts), while the maximum unwinding was seen at the 52,700 strike, which shed 1.63 lakh contracts, followed by the 52,800 and 52,500 strikes, which shed 1.61 lakh and 1.33 lakh contracts, respectively.  6) Bank Nifty Put Options Data On the Put side, the maximum open interest was seen at the 52,000 strike (with 22.61 lakh contracts), which can act as a key support level for the index. This was followed by the 53,000 strike (20.05 lakh contracts) and the 52,500 strike (17.04 lakh contracts). The maximum Put writing was observed at the 53,000 strike (which added 12.98 lakh contracts), followed by the 52,500 strike (8.88 lakh contracts) and the 51,500 strike (5.66 lakh contracts), while there was hardly any Put unwinding seen.  7) Funds Flow (Rs crore)  8) Put-Call Ratio The Nifty Put-Call ratio (PCR), which indicates the mood of the market, jumped to 1.26 on September 19, from 1.13 levels in the previous session. The increasing PCR, or being higher than 0.7 or surpassing 1, means traders are selling more Put options than Call options, which generally indicates the firming up of a bullish sentiment in the market. If the ratio falls below 0.7 or moves towards 0.5, then it indicates selling in Calls is higher than selling in Puts, reflecting a bearish mood in the market.  9) India VIX Volatility dropped sharply after the end of uncertainty related to the Federal Reserve event, providing more comfort to the bulls. The India VIX, the fear index, fell by 6.75 percent to 12.47, down from 13.37 levels.  10) Long Build-up (54 Stocks) A long build-up was seen in 54 stocks. An increase in open interest (OI) and price indicates a build-up of long positions.  11) Long Unwinding (29 Stocks) 29 stocks saw a decline in open interest (OI) along with a fall in price, indicating long unwinding.  12) Short Build-up (63 Stocks) 63 stocks saw an increase in OI along with a fall in price, indicating a build-up of short positions.  13) Short-Covering (39 Stocks) 39 stocks saw short-covering, meaning a decrease in OI, along with a price increase.  14) High Delivery Trades Here are the stocks that saw a high share of delivery trades. A high share of delivery reflects investing (as opposed to trading) interest in a stock.  15) Stocks Under F&O Ban Securities banned under the F&O segment include companies where derivative contracts cross 95 percent of the market-wide position limit. Stocks added to F&O ban: Chambal Fertilisers and Chemicals, NALCO, SAIL Stocks retained in F&O ban: Aarti Industries, Biocon, Birlasoft, GNFC, Granules India, LIC Housing Finance, Oracle Financial Services Software, Punjab National Bank, RBL Bank Stocks removed from F&O ban: Balrampur Chini Mills Disclaimer: The views and investment tips expressed by experts on Moneycontrol are their own and not those of the website or its management. Moneycontrol advises users to check with certified experts before taking any investment decisions. Disclosure: Moneycontrol is a part of the Network18 group. Network18 is controlled by Independent Media Trust, of which Reliance Industries is the sole beneficiary. "
"Reliance Infrastructure to seek shareholders' nod for Rs 3,000-crore QIP",https://www.moneycontrol.com/news/business/markets/reliance-infrastructure-to-seek-shareholders-nod-for-rs-3000-crore-qip-12825855.html,general," September 19, 2024 / 21:58   ","Reliance Infrastructure’s board on September 19 approved raising Rs 3014.4 crore by preferential issue of up to 12.56 crore equity shares of the company at an issue price of Rs 240 apiece, the firm said in an exchange filing. The company said the preferential issue will be made to promoter group entity Risee Infinity Private Limited and other non-promoter entities Florintree Innovation LLP, Fortune Financial & Equities Services Private Limited, the filing showed. The preferential issue will result in enhancing the promoter’s equity stake, the statement said. Additionally, the board also okayed seeking enabling authorisation from the shareholders to raise up to Rs 3,000 crore by making a Qualified Institutional Placement (QIP). The company said the proceeds from the QIP will be used for expansion of business operations directly and/or through investment in subsidiaries and joint ventures including meeting the long-term working capital requirements and for general corporate purposes. The issue will also give a boost to company’s networth, rising from Rs 9,000 crore to Rs 12,000 crore, the statement added. As of now, the company has near zero debt and enhanced capital is likely to “help participation in high growth sectors to aid the government’s vision of ‘Make In India’ and ‘Viksit Bharat’”. The Board also approved issuance of postal ballot to seek shareholders’ approval for the preferential Issue and QIP, the company said.
       "
RBI lifts restrictions imposed on IIFL Finance's gold loan business,https://www.moneycontrol.com/news/business/rbi-lifts-restrictions-imposed-on-iifl-finances-gold-loan-business-12825738.html,general," September 19, 2024 / 18:31   ","IIFL Finance Ltd said on September 19 that the Reserve Bank of India (RBI) has lifted restrictions imposed on the company's gold loan business. ""RBI, through its communication dated September 19, 2024, has lifted the restrictions imposed on the gold loan business of the company. The RBI's decision is effective immediately and allows the Company to resume the sanctioning, disbursal, assignment, securitisation, and sale of gold loans in compliance with all relevant laws and regulations,"" said IIFL Finance in a stock exchange filing. On September 19, IIFL Finance's shares on NSE closed trading 6 percent lower at Rs 497 apiece. ""The Company is committed to upholding the highest standards of compliance and will continue to ensure that the remedial actions taken are sustained,"" added IIFL Finance. RBI had imposed the curbs on March 4, 2024. IIFL fell under regulatory scrutiny in March amid a crackdown on financial firms, when it was asked by RBI to stop disbursing new gold-backed lending following “material supervisory concerns”. Three local rating companies - ICRA Ltd, Crisil Ltd and Care Ratings Ltd - put it under rating watch with negative or developing implications following the ban. International credit assessor Fitch Ratings also put its B+ rating on negative watch. Its employee number in gold loan branches already dropped from 15,000 in March to 12,000 in June, according to its financial reports, reported Bloomberg earlier on September 19. The assets under management in its gold loan business more than halved to Rs 12,162 crore as of August 5 since the March ban. In March, RBI said an inspection of the company was carried out by it with reference to IIFL’s financial position as of March 31, 2023. “Certain material supervisory concerns were observed in the gold loan portfolio of the company, including serious deviations in assaying and certifying purity and net weight of the gold at the time of sanction of loans and at the time of auction upon default…,” it noted. In March, RBI had said the supervisory restrictions will be reviewed upon completion of a special audit to be instituted by the RBI and after rectification by the company of the special audit findings and the findings of RBI inspection are to the satisfaction of the central bank. With inputs from Bloomberg "
See More News,/news/,general,NA,
S&P 500 hits all-time high on Wall Street investors soft-landing hopes,https://www.moneycontrol.com/news/business/markets/sp-500-hits-all-time-high-on-wall-street-investors-soft-landing-hopes-12825845.html,general," September 19, 2024 / 21:23   ","Wall Street traders betting the Federal Reserve will be able to engineer a soft landing spurred a rally in riskier corners of the market, with stocks hitting all-time highs. Almost every major group in the S&P 500 gained, with the benchmark up 1.7% and poised for its 39th record this year. The Nasdaq 100 climbed 2.9% and the Russell 2000 of small caps extended its advance into a seventh straight session. Bitcoin jumped 5%. Bonds and the dollar fell. The Fed’s bold start to cutting interest rates and its determination not to fall behind the curve re-ignited hopes the central bank will be able to avoid a recession. Data Thursday showing a slide in jobless claims to the lowest since May signaled the labor market remains healthy despite a slowdown in hiring.  “Despite some volatility after the Fed’s rate cut, the S&P 500’s bullish trend remains intact,” said Fawad Razaqzada at City Index and Forex.com. “The Fed’s decision to deliver a 50-basis point rate cut was largely welcomed by investors. The move was seen as a bold but necessary step to ease economic concerns without sending panic signals reminiscent of the 2008 financial crisis.” Still, with the S&P 500 up about 20% in 2024 year-to-date, investors are wondering if the rally can be sustained. “On the surface, it appears that market sentiment is bullish,” Razaqzada said. “Yet, looming risks, such as global economic slowdown in the Eurozone and China, may challenge this optimism. Moreover, seasonal trends indicate that September is typically a tough month for equities.” The S&P 500 topped 5,700 while the Dow Jones Industrial Average hovered near 42,000. The yield on 10-year Treasuries advanced three basis points to 3.74%. The pound rose as the Bank of England held rates steady and said it won’t rush to ease policy. The yen fell ahead of the Bank of Japan policy decision.
       "
"Zomato records 100% growth in brand value, MakeMyTrip enters list of top Indian firms",https://www.moneycontrol.com/technology/zomato-records-100-growth-in-value-makemytrip-enters-list-of-top-indian-brands-article-12825659.html,general," September 19, 2024 / 20:39   ","Zomato emerged as this yearâ€™s fastest riser with a 100Â percent year-on-year growth in brand value at $3,549 due to its innovation and expansion into quick commerce, according to 'Kantar BrandZ Most Valuable Indian Brands' report. TheÂ brand doubled its value on the back of reducing friction for customers as well as building a strong desire among consumers for the brand. Meanwhile, travel platform MakeMyTrip made its debut in the list of top Indian brands after making marked improvement in customer experience. ""MakeMyTrip's entry in the list is driven by the fact that people are traveling more, and they are using travel websites more. But, the company has also reduced the friction in making bookings and finding destinations in the entire process of travel,"" saidÂ Soumya Mohanty, managing director & chief client officer, Insights, South Asia at Kantar, a marketing data and analytics company. Indiaâ€™s top 75 most valuable brands now have a combined value of $450.5 billion, marking a 19Â percent increase from last year. Brands across diverse business sectors fuelled this growth, with 54 brands boosting their brand value over the past year. This growth outpaces most other rankings globally and closely mirrors the 20Â percent increase seen in the global top 100 brands. TCS on top Tata Consultancy Services (TCS) retained its top position in the brand rankings for the third straight year with a brand value of $49.7 billion, up 16Â percent versus last year, driven by investments in innovation, particularly in AI and digital transformation. ""TCS remains on top due to its sheer financial size. For brandsÂ like TCS, Infosys, HCL Tech, SBI, a big part of their total value is just their sheer size. But all these brands are also doing a lot of activities in brand building. If you look at TCS, it sponsors multiple marathons, which is a way to get salience and brand name visibility,"" saidÂ Deepender Rana, executive managing director, Insights, South Asia at Kantar. Among categories, automotive has seen significant growthÂ along with financial services. Aspirational categories The automotive sector has also seen strong results, led by Maruti Suzuki with a 24Â percent growth in brand value, Bajaj Auto with 94Â percent increase, Mahindra with 78Â percent rise in brand value. Mahindra's SUVs (sport utility vehicle) make up 53Â percent of India's passenger car market as of June 2024. The success of models like XUV700, Scorpio N, and Thar, which continue to see high demand and long waiting periods, has solidified Mahindra's leadership in mid and premium SUVs. Rising disposable income and a growing middle class are driving demand for vehicles, shifting car ownership from a status symbol to a necessity. Improved infrastructure, government support for EVs and strong export growth expectations are further fueling the industry's momentum, the report said. ""I've seen a big uptick in what we call aspirational categories in the last few years. If you look at some of the top risers this year, there are sectors like automobiles where there was premiumization happening with SUVs. There's an uptick in travel and leisureÂ along withÂ real estate,"" saidÂ Rana. Strong bounce back He added that compared to pre-Covid, there's been a strong bounce back in brand value of top Indian firms. ""In the beginning of the post-Covid period, we saw a big pickup in some sectors like packaged goods. In the last year or so, we've seen the packaged goods sector slowing down a bit."" In 2020, the value of top 75 brands had dropped by 6 percent, while that of global brands had increased by 6 percent. Mohanty said that during Covid, while the value of top Indian brands had dropped,Â it has been growing faster in the post-Covid period. Some of the top brands, whether globally or in India, are outpacing the overall market growth because they have been investing in brand building, Mohanty said. ""There are two things that we see. One is what we call meaning. Meaning means you meet people's needs, but you also emotionally delight them. The brands that were growing faster than average are meaningful. The second aspect is whether a brand stands out isÂ seen as setting trends in a category. If a brand does well in these two aspects, a brand's valueÂ grows 27Â percent versus an average growth of 19Â percent. And if a brand doesn't meet expectations on these aspects, then they grow at 17Â percent. So, there are the aspects that brands can invest in to build equity that help them grow faster,"" Rana said. Invest in brand equity However, he noted thatÂ despite strong investor confidence, large brands face a looming challengeÂ of a long-term decline in demand power. While they may remain stock market favourites for now, they risk losing relevance in the minds of consumers if they don't adapt to shifting expectations, Rana said. ""Some of the brands in the top 75 in India are simply there because of the sheer size. If I look at the top 100 brands globally, 8Â percent can be classified as below average on meaning and (making a) difference. In India, that rises to 21Â percent. This means that these many brands in the top 75 are vulnerable to value decline. While Indian brands have grown well, they need to keep investing in brand equity,"" he said.
       "
